hour,day_of_week,day_of_year,temperature_c,demand
17,1,37,11.1,25733.0
18,1,37,11.6,25925.0
19,1,37,11.7,25718.0
20,1,37,12.6,25901.0
21,1,37,13.3,25985.0
22,1,37,13.9,25732.0
23,1,37,13.6,24524.0
0,2,38,12.5,23990.0
1,2,38,10.2,24247.0
2,2,38,9.8,25323.0
3,2,38,9.4,27117.0
4,2,38,9.4,27761.0
5,2,38,8.3,27264.0
6,2,38,7.9,26642.0
7,2,38,8.6,25933.0
8,2,38,8.5,24668.0
9,2,38,8.1,23871.0
10,2,38,7.5,22918.0
11,2,38,7.0,22220.0
12,2,38,6.1,21610.0
13,2,38,7.6,21170.0
14,2,38,7.1,21295.0
15,2,38,7.4,22556.0
16,2,38,8.8,24811.0
17,2,38,10.7,26106.0
18,2,38,12.0,26220.0
19,2,38,13.3,26592.0
20,2,38,14.0,26556.0
21,2,38,14.0,26813.0
22,2,38,14.4,26314.0
23,2,38,14.4,26217.0
0,3,39,13.8,25719.0
1,3,39,12.2,25088.0
2,3,39,11.5,25940.0
3,3,39,11.3,27692.0
4,3,39,10.9,28462.0
5,3,39,10.9,28283.0
6,3,39,10.9,27617.0
7,3,39,10.0,26826.0
8,3,39,9.3,25508.0
9,3,39,8.2,23853.0
10,3,39,5.8,23689.0
11,3,39,4.3,22620.0
12,3,39,3.8,22102.0
